timestamp_s,frequency_hz,vin_dc_v,vout_dc_v,vin_ac_v,vout_ac_v,psrr_db,psrr_i32,status,error_code,error_source,severity
0.0,10.0,5.0,3.3,0.1,0.000115,-58.78,-59,False,0,OK,NORMAL
0.1,10.06,5.0,3.3,0.1,0.000392,-48.14,-48,False,0,OK,NORMAL
0.2,10.12,5.0,3.3,0.1,7e-05,-63.1,-63,False,0,OK,NORMAL
0.3,10.17,5.0,3.3,0.1,9.1e-05,-60.82,-61,False,0,OK,NORMAL
0.4,10.23,5.0,3.3,0.1,0.000176,-55.07,-55,False,0,OK,NORMAL
0.5,10.29,5.0,3.3,0.1,0.000288,-50.81,-51,False,0,OK,NORMAL
0.6,10.35,5.0,3.3,0.1,0.00033,-49.62,-50,False,0,OK,NORMAL
0.7,10.41,5.0,3.3,0.1,0.000218,-53.24,-53,False,0,OK,NORMAL
0.8,10.47,5.0,3.3,0.1,0.000105,-59.55,-60,False,0,OK,NORMAL
0.9,10.53,5.0,3.3,0.1,0.000409,-47.77,-48,False,0,OK,NORMAL
1.0,10.59,5.0,3.3,0.1,0.001036,-39.7,-40,False,0,OK,NORMAL
1.1,10.65,5.0,3.3,0.1,0.000221,-53.09,-53,False,0,OK,NORMAL
1.2,10.72,5.0,3.3,0.1,9.1e-05,-60.84,-61,False,0,OK,NORMAL
1.3,10.78,5.0,3.3,0.1,6.3e-05,-64.04,-64,False,0,OK,NORMAL
1.4,10.84,5.0,3.3,0.1,0.000215,-53.36,-53,False,0,OK,NORMAL
1.5,10.9,5.0,3.3,0.1,0.000421,-47.51,-48,False,0,OK,NORMAL
1.6,10.97,5.0,3.3,0.1,9.8e-05,-60.16,-60,False,0,OK,NORMAL
1.7,11.03,5.0,3.3,0.1,0.000599,-44.45,-44,False,0,OK,NORMAL
1.8,11.09,5.0,3.3,0.1,0.000177,-55.06,-55,False,0,OK,NORMAL
1.9,11.16,5.0,3.3,0.1,0.000304,-50.34,-50,False,0,OK,NORMAL
2.0,11.22,5.0,3.3,0.1,8.9e-05,-61.01,-61,False,0,OK,NORMAL
2.1,11.29,5.0,3.3,0.1,0.000129,-57.79,-58,False,0,OK,NORMAL
2.2,11.35,5.0,3.3,0.1,0.000295,-50.61,-51,False,0,OK,NORMAL
