timestamp_s,frequency_hz,vin_dc_v,vout_dc_v,vin_ac_v,vout_ac_v,psrr_db,psrr_i32,status,error_code,error_source,severity
0.0,10.0,5.0,3.3,0.1,0.000937,-40.57,-41,False,0,OK,NORMAL
0.1,10.6,5.0,3.3,0.1,6.5e-05,-63.7,-64,False,0,OK,NORMAL
0.2,11.23,5.0,3.3,0.1,0.000948,-40.46,-40,False,0,OK,NORMAL
0.3,11.9,5.0,3.3,0.1,0.000234,-52.6,-53,False,0,OK,NORMAL
0.4,12.6,5.0,3.3,0.1,0.000259,-51.73,-52,False,0,OK,NORMAL
0.5,13.35,5.0,3.3,0.1,0.000352,-49.07,-49,False,0,OK,NORMAL
0.6,14.15,5.0,3.3,0.1,0.000369,-48.66,-49,False,0,OK,NORMAL
0.7,14.99,5.0,3.3,0.1,0.00018,-54.91,-55,False,0,OK,NORMAL
0.8,15.89,5.0,3.3,0.1,0.000375,-48.53,-49,False,0,OK,NORMAL
0.9,16.83,5.0,3.3,0.1,0.000426,-47.41,-47,False,0,OK,NORMAL
1.0,17.83,5.0,3.3,0.1,0.000154,-56.23,-56,False,0,OK,NORMAL
1.1,18.9,5.0,3.3,0.1,0.000172,-55.3,-55,False,0,OK,NORMAL
1.2,20.02,5.0,3.3,0.1,0.000237,-52.49,-52,False,0,OK,NORMAL
1.3,21.21,5.0,3.3,0.1,4.2e-05,-67.6,-68,False,0,OK,NORMAL
1.4,22.48,5.0,3.3,0.1,3.7e-05,-68.54,-69,False,0,OK,NORMAL
1.5,23.82,5.0,3.3,0.1,7.7e-05,-62.25,-62,False,0,OK,NORMAL
1.6,25.24,5.0,3.3,0.1,0.000449,-46.95,-47,False,0,OK,NORMAL
1.7,26.74,5.0,3.3,0.1,0.00021,-53.54,-54,False,0,OK,NORMAL
1.8,28.33,5.0,3.3,0.1,9e-05,-60.9,-61,False,0,OK,NORMAL
1.9,30.02,5.0,3.3,0.1,0.000309,-50.2,-50,False,0,OK,NORMAL
